,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded
138,2020-10-17,2020-10-17,9.054,9.147,8.918,9.054,69610.175
139,2020-10-18,2020-10-18,9.068,9.378,9.063,9.343,138730.663
140,2020-10-19,2020-10-19,9.35,9.514,9.106,9.266,251617.07
141,2020-10-20,2020-10-20,9.27,9.286,8.28,8.312,612466.933
142,2020-10-21,2020-10-21,8.35,9.55,8.3,9.108,615445.381
143,2020-10-22,2020-10-22,9.053,10.55,8.75,10.105,802993.641
144,2020-10-23,2020-10-23,10.109,34.994,9.77,10.239,682395.792
145,2020-10-24,2020-10-24,10.255,10.95,10.093,10.729,500457.836
146,2020-10-25,2020-10-25,10.69,10.83,10.07,10.248,405922.161
147,2020-10-26,2020-10-26,10.252,10.71,9.539,9.97,679946.454
148,2020-10-27,2020-10-27,9.964,10.58,9.765,10.117,598261.988
149,2020-10-28,2020-10-28,10.127,10.316,9.478,9.776,576838.141
150,2020-10-29,2020-10-29,9.76,10.093,9.44,9.656,415126.941
151,2020-10-30,2020-10-30,9.67,9.848,9.231,9.518,517638.215
152,2020-10-31,2020-10-31,9.516,9.86,9.388,9.654,289826.022
153,2020-11-01,2020-11-01,9.65,9.975,9.47,9.946,190400.351
154,2020-11-02,2020-11-02,9.93,10.046,9.211,9.27,384255.491
155,2020-11-03,2020-11-03,9.268,9.287,8.6,8.835,507469.574
156,2020-11-04,2020-11-04,8.836,9.121,8.34,8.929,747231.34
157,2020-11-05,2020-11-05,8.94,9.555,8.532,9.3,774816.448
158,2020-11-06,2020-11-06,9.299,10.39,9.246,10.286,813066.457
159,2020-11-07,2020-11-07,10.269,11.438,9.32,9.847,2097296.204
160,2020-11-08,2020-11-08,9.863,11.041,9.583,10.68,972357.586
161,2020-11-09,2020-11-09,10.656,10.93,10.131,10.594,910209.847
162,2020-11-10,2020-11-10,10.566,11.256,10.43,11.03,787014.723
163,2020-11-11,2020-11-11,11.021,11.45,10.83,10.85,785458.113
164,2020-11-12,2020-11-12,10.84,11.155,10.41,10.55,731852.437
165,2020-11-13,2020-11-13,10.515,11.019,10.442,10.921,440952.344
166,2020-11-14,2020-11-14,10.885,10.965,10.44,10.625,331442.802
167,2020-11-15,2020-11-15,10.631,10.721,9.99,10.281,367728.719
168,2020-11-16,2020-11-16,10.245,10.865,10.15,10.66,506790.227
169,2020-11-17,2020-11-17,10.641,11.35,10.57,11.28,970264.203
170,2020-11-18,2020-11-18,11.27,12.01,10.6,11.45,1486929.497
171,2020-11-19,2020-11-19,11.449,11.85,11.01,11.482,603688.367
172,2020-11-20,2020-11-20,11.487,12.244,11.373,11.925,721591.166
173,2020-11-21,2020-11-21,11.874,13.076,11.57,13.005,1033978.302
174,2020-11-22,2020-11-22,13.0,13.23,11.57,12.252,1082357.991
175,2020-11-23,2020-11-23,12.24,13.1,11.991,12.899,967492.652
176,2020-11-24,2020-11-24,12.893,13.86,12.61,13.17,1581909.9
177,2020-11-25,2020-11-25,13.171,13.371,11.57,11.95,782616.848
178,2020-11-26,2020-11-26,11.98,13.0,7.81,10.588,2577182.315
179,2020-11-27,2020-11-27,10.59,10.927,10.03,10.456,642364.324
180,2020-11-28,2020-11-28,10.457,11.287,10.35,10.964,577087.991
181,2020-11-29,2020-11-29,10.965,11.3,10.74,11.18,419979.068
182,2020-11-30,2020-11-30,11.2,12.05,11.2,11.886,847343.248
183,2020-12-01,2020-12-01,11.906,12.456,10.89,11.061,1106808.216
184,2020-12-02,2020-12-02,11.07,11.734,10.833,11.556,370926.454
185,2020-12-03,2020-12-03,11.543,11.749,11.286,11.528,218947.82
186,2020-12-04,2020-12-04,11.51,11.577,10.3,10.48,583872.544
187,2020-12-05,2020-12-05,10.46,11.05,10.334,10.893,164561.735
188,2020-12-06,2020-12-06,10.879,11.162,10.558,11.15,171177.227
189,2020-12-07,2020-12-07,11.15,11.187,10.633,10.804,208987.105
190,2020-12-08,2020-12-08,10.836,10.921,9.89,10.018,467429.311
191,2020-12-09,2020-12-09,10.028,10.641,9.53,10.472,684250.403
192,2020-12-10,2020-12-10,10.466,10.5,9.73,9.8,486675.977
193,2020-12-11,2020-12-11,9.823,9.902,9.44,9.622,454955.487
194,2020-12-12,2020-12-12,9.629,10.22,9.584,10.103,315298.677
195,2020-12-13,2020-12-13,10.128,10.95,9.95,10.65,365961.932
196,2020-12-14,2020-12-14,10.639,10.717,10.117,10.589,297625.195
197,2020-12-15,2020-12-15,10.571,10.7,10.27,10.43,290780.59
198,2020-12-16,2020-12-16,10.458,11.099,10.131,11.06,676220.459
199,2020-12-17,2020-12-17,11.052,11.843,10.654,10.982,1222862.184
200,2020-12-18,2020-12-18,10.964,11.469,10.739,11.02,248238.516
201,2020-12-19,2020-12-19,11.026,11.439,10.859,10.966,403983.257
202,2020-12-20,2020-12-20,10.961,11.264,10.35,10.7,446730.482
203,2020-12-21,2020-12-21,10.7,10.877,9.92,10.07,749857.99
